0
7
[(4.59,4.89)(6.50,6.28)][(7.26,5.43)(7.80,5.59)][(1.38,5.30)(1.51,6.03)][(3.50,5.49)(3.85,6.44)][(2.83,1.10)(4.47,1.82)][(3.15,6.61)(3.53,7.52)][(3.34,2.36)(4.25,1.35)]
[(7.06,3.59)(2.57,7.19)][(2.54,4.03)(4.71,7.42)][(9.77,9.76)(3.57,8.83)][(4.74,9.50)(8.91,3.55)][(2.42,4.46)(7.61,5.10)][(4.87,4.07)(8.66,1.52)][(3.54,1.66)(3.66,4.91)]
[(7.41,3.40)(2.14,7.52)][(2.67,4.47)(4.97,7.42)][(9.47,9.64)(3.45,8.80)][(4.93,9.05)(8.41,3.49)][(1.93,4.78)(7.57,5.54)][(5.03,4.53)(8.80,1.48)][(3.09,1.22)(3.29,5.08)]
[(7.34,3.46)(1.65,7.81)][(2.52,4.89)(4.52,6.93)][(9.00,9.51)(3.21,8.98)][(5.12,9.50)(8.12,3.00)][(2.34,4.56)(7.86,5.54)][(4.66,5.03)(8.62,1.80)][(3.57,1.20)(3.68,5.54)]
[(7.66,2.96)(2.11,8.31)][(2.97,5.36)(4.65,7.14)][(8.71,9.03)(3.13,9.40)][(5.61,9.57)(7.74,3.07)][(2.30,4.47)(8.25,5.89)][(5.03,4.56)(9.05,1.30)][(3.08,1.00)(4.09,5.86)]
[(7.46,2.47)(1.62,8.35)][(2.47,5.85)(4.86,7.17)][(9.05,9.51)(2.69,9.65)][(5.72,9.99)(7.89,3.15)][(2.50,4.91)(8.68,5.59)][(5.46,4.21)(9.27,1.13)][(3.34,1.32)(3.90,5.44)]
[(7.54,2.20)(1.24,7.88)][(2.93,6.07)(4.98,7.56)][(8.55,9.73)(2.34,9.23)][(6.03,9.82)(8.24,3.36)][(2.04,4.94)(8.75,5.17)][(5.16,4.71)(9.08,1.39)][(3.18,1.03)(4.02,5.44)]
[(7.09,2.34)(1.71,7.40)][(2.85,5.57)(4.68,8.03)][(9.05,9.64)(2.59,9.69)][(6.36,9.43)(8.38,3.24)][(2.54,5.28)(8.97,5.57)][(5.66,5.13)(9.57,1.06)][(3.16,1.15)(4.38,5.21)]
[(6.59,1.88)(2.12,7.82)][(2.87,5.26)(5.11,8.23)][(9.04,9.89)(2.26,9.20)][(6.08,9.19)(7.89,2.76)][(2.23,5.72)(8.63,5.88)][(5.93,5.40)(9.09,1.24)][(2.77,1.56)(4.87,4.81)]
[(6.34,2.15)(2.62,7.85)][(3.36,5.15)(4.73,7.77)][(9.51,9.59)(2.43,8.92)][(6.51,8.87)(7.77,3.24)][(1.83,5.55)(8.73,5.67)][(6.40,5.66)(8.82,1.74)][(3.26,1.89)(5.22,5.31)]
[(5.87,2.40)(2.83,7.66)][(3.26,5.65)(4.71,7.29)][(9.01,9.46)(2.39,9.40)][(6.96,8.60)(7.57,2.94)][(2.22,5.94)(8.27,5.22)][(6.26,6.06)(8.53,1.46)][(3.20,1.40)(5.72,4.90)]
[(5.61,2.72)(2.75,7.93)][(3.71,5.15)(5.15,7.20)][(9.43,9.29)(2.05,9.11)][(6.62,8.10)(7.19,3.02)][(1.74,5.51)(8.71,4.89)][(6.35,6.30)(8.03,1.83)][(3.08,1.20)(6.11,4.88)]
[(5.13,2.58)(3.15,7.94)][(4.17,5.35)(4.82,7.02)][(9.42,9.67)(1.99,9.58)][(6.13,8.10)(7.09,3.52)][(1.37,5.49)(9.21,5.34)][(6.14,6.62)(7.86,2.17)][(3.57,1.51)(5.72,5.29)]
[(5.62,2.37)(3.40,8.15)][(3.98,5.75)(4.59,6.52)][(8.94,9.80)(2.26,9.09)][(6.37,7.75)(6.68,3.38)][(1.85,5.01)(8.72,4.92)][(5.90,7.11)(7.88,2.15)][(3.08,2.01)(5.82,5.56)]
[(5.23,2.60)(3.47,8.38)][(3.86,5.30)(4.91,6.29)][(9.35,9.98)(1.93,8.79)][(6.61,7.67)(6.95,3.42)][(2.20,5.50)(8.68,4.74)][(6.30,6.62)(7.49,1.67)][(2.96,2.30)(6.30,5.09)]
[(5.70,2.64)(3.47,7.92)][(4.05,5.05)(4.44,6.70)][(9.48,9.59)(1.59,8.39)][(6.47,7.18)(6.88,3.53)][(2.64,5.25)(8.94,4.50)][(6.12,6.82)(6.99,1.72)][(2.48,2.21)(6.45,4.96)]
[(5.39,3.11)(3.97,8.35)][(3.58,4.56)(3.94,7.01)][(9.16,9.11)(1.12,8.44)][(6.13,7.62)(7.07,4.03)][(3.06,4.83)(8.93,4.02)][(6.36,6.34)(6.49,2.16)][(2.14,2.69)(5.95,5.19)]
[(5.07,3.38)(3.97,8.58)][(3.13,4.54)(3.63,6.52)][(8.86,9.60)(1.25,8.36)][(6.58,7.76)(7.37,3.98)][(2.91,4.35)(9.42,3.57)][(5.87,5.90)(6.87,2.60)][(1.87,2.64)(6.16,5.01)]
[(5.52,3.33)(4.31,8.92)][(3.32,4.33)(3.33,6.03)][(8.40,9.59)(1.59,7.95)][(7.06,7.26)(7.64,3.70)][(2.98,4.84)(9.19,3.97)][(5.38,6.14)(7.17,3.10)][(1.50,2.15)(6.41,4.54)]
[(5.33,3.11)(4.21,8.75)][(3.05,4.81)(2.84,6.15)][(8.51,9.67)(1.30,8.13)][(7.56,7.75)(8.03,3.78)][(3.11,4.80)(9.68,3.62)][(4.93,6.54)(6.76,2.91)][(1.04,1.69)(5.92,4.38)]
[(5.47,3.54)(4.60,8.25)][(2.60,4.36)(3.23,6.49)][(8.09,9.62)(1.02,7.63)][(7.42,7.40)(7.68,4.17)][(3.52,4.58)(9.34,3.26)][(5.08,6.07)(6.51,2.71)][(1.22,1.77)(6.29,4.85)]
[(5.00,3.19)(4.68,7.82)][(3.10,3.86)(3.43,6.29)][(8.35,9.12)(1.13,7.58)][(7.61,7.53)(7.20,4.47)][(3.25,4.24)(9.42,3.61)][(5.35,6.39)(6.01,2.41)][(1.54,2.13)(5.93,4.89)]
[(4.85,3.25)(4.97,7.88)][(3.26,4.23)(2.94,5.83)][(8.85,8.66)(1.33,7.10)][(7.16,7.95)(6.74,4.00)][(2.76,4.47)(9.92,3.50)][(4.91,5.91)(5.56,2.41)][(1.57,1.64)(5.46,5.18)]
[(5.29,3.69)(4.51,7.53)][(2.76,4.62)(2.97,5.34)][(9.33,9.10)(1.83,7.19)][(7.65,7.45)(6.77,3.50)][(2.27,4.04)(9.45,3.68)][(4.84,5.51)(5.27,2.91)][(1.32,1.99)(5.02,5.21)]
[(5.35,3.28)(4.67,7.49)][(2.35,5.12)(2.89,4.85)][(8.84,9.10)(2.21,6.79)][(7.77,7.68)(6.66,3.04)][(2.65,4.36)(9.93,4.11)][(5.31,5.54)(5.12,2.49)][(1.29,1.51)(4.92,5.62)]
[(5.24,2.88)(4.96,7.39)][(1.98,4.99)(3.33,4.35)][(9.31,9.59)(2.26,6.34)][(7.31,7.19)(6.45,3.21)][(2.15,4.11)(9.49,4.13)][(4.98,5.11)(5.30,2.68)][(1.17,1.27)(4.55,5.31)]
[(5.60,2.39)(5.45,7.01)][(1.75,5.39)(3.19,4.48)][(9.73,9.09)(1.92,5.88)][(7.62,7.33)(5.95,3.55)][(2.11,3.80)(9.38,3.63)][(4.71,5.18)(5.52,2.19)][(1.57,1.03)(4.75,5.56)]
[(5.27,1.89)(5.87,7.37)][(1.62,4.91)(3.32,3.99)][(9.39,9.36)(1.50,5.59)][(7.94,7.82)(6.23,3.05)][(2.61,4.17)(9.38,3.45)][(4.41,4.94)(5.31,2.54)][(1.37,1.05)(4.64,5.94)]
[(5.46,2.08)(5.65,7.75)][(2.00,5.27)(3.39,3.73)][(9.53,9.08)(1.07,5.12)][(8.16,7.51)(6.16,3.21)][(2.16,4.03)(8.95,3.83)][(4.52,5.41)(5.17,2.23)][(1.15,1.42)(4.38,6.17)]
[(5.25,1.96)(5.22,8.24)][(2.15,4.77)(3.89,3.44)][(9.34,8.86)(1.17,4.73)][(7.95,7.06)(5.99,2.75)][(1.69,3.58)(9.00,3.64)][(4.11,5.21)(4.81,2.61)][(1.54,1.70)(4.27,5.87)]
[(4.95,2.02)(4.94,7.78)][(2.04,4.55)(3.86,3.38)][(9.12,9.36)(1.44,4.62)][(8.37,7.44)(6.30,2.53)][(1.19,3.83)(8.54,4.14)][(4.54,4.91)(4.44,2.78)][(1.84,1.57)(4.65,6.32)]
[(4.58,1.62)(4.48,7.60)][(2.54,4.06)(4.14,3.60)][(9.55,9.68)(1.94,4.30)][(8.81,7.09)(5.86,2.86)][(1.37,3.35)(8.32,4.10)][(4.04,5.40)(4.42,3.24)][(2.34,1.96)(4.16,5.84)]
[(4.77,1.35)(3.98,7.90)][(2.22,3.57)(3.68,3.78)][(9.97,9.98)(2.32,3.95)][(9.18,7.59)(6.14,2.36)][(1.82,3.19)(7.98,3.60)][(3.60,4.92)(4.36,3.66)][(1.88,1.52)(4.53,6.13)]
[(4.83,1.79)(3.64,7.79)][(2.72,4.05)(3.87,3.33)][(9.87,9.98)(1.92,3.99)][(9.29,7.77)(5.65,1.86)][(1.57,2.98)(8.41,3.13)][(3.81,5.29)(4.34,4.16)][(2.08,1.92)(4.25,6.45)]
[(4.72,2.26)(3.68,8.12)][(2.26,4.29)(3.92,3.22)][(9.68,9.75)(1.56,3.89)][(9.72,7.67)(6.06,1.55)][(1.39,3.37)(8.88,3.50)][(3.31,5.72)(3.97,4.35)][(2.40,2.12)(3.75,6.43)]
[(4.98,1.83)(3.18,7.64)][(2.17,3.88)(3.99,3.22)][(9.20,9.37)(1.60,3.76)][(9.25,7.35)(6.04,1.49)][(1.88,3.35)(9.30,3.54)][(3.32,5.24)(3.47,4.40)][(2.38,1.68)(4.23,5.99)]
[(5.47,2.33)(3.53,7.14)][(1.70,3.59)(4.17,3.69)][(9.37,9.05)(1.12,3.57)][(8.75,7.66)(6.47,1.11)][(1.41,3.71)(9.28,3.13)][(3.39,5.02)(3.81,4.28)][(1.91,2.17)(4.18,5.83)]
[(4.99,1.83)(3.28,7.60)][(1.53,3.10)(3.98,3.75)][(9.00,9.28)(1.03,3.29)][(8.94,7.56)(6.25,1.42)][(1.06,3.75)(9.47,3.05)][(3.75,5.44)(3.73,4.74)][(1.46,1.68)(4.35,6.21)]
[(4.82,1.49)(3.48,8.03)][(1.91,3.04)(4.01,3.35)][(9.38,9.31)(1.32,2.86)][(8.69,8.05)(6.42,1.23)][(1.50,3.81)(9.08,2.55)][(4.16,5.94)(4.23,4.31)][(1.83,1.18)(4.30,6.22)]
[(4.36,1.96)(3.60,7.79)][(1.65,2.56)(3.95,3.53)][(9.88,8.99)(1.71,3.31)][(8.53,7.77)(5.97,1.31)][(1.86,4.24)(9.53,2.26)][(4.61,5.49)(4.60,4.11)][(2.03,1.66)(4.04,6.60)]
[(4.80,2.10)(3.66,8.16)][(2.13,3.04)(3.49,3.47)][(9.87,8.98)(1.92,2.88)][(8.15,8.24)(6.19,1.08)][(1.39,4.23)(9.18,1.92)][(4.28,5.71)(5.00,4.03)][(1.59,1.30)(3.59,6.83)]
[(5.16,1.96)(3.24,8.11)][(1.77,2.81)(3.04,3.88)][(9.95,8.75)(2.12,3.24)][(8.50,7.78)(6.66,1.55)][(1.69,3.94)(8.70,2.37)][(4.77,6.16)(5.28,4.51)][(1.89,1.42)(3.78,6.54)]
[(5.41,2.20)(2.76,7.90)][(1.30,2.69)(3.54,3.44)][(9.46,9.25)(2.34,3.23)][(8.28,7.29)(6.17,1.49)][(1.46,3.47)(8.29,2.56)][(4.28,6.57)(5.72,4.06)][(1.46,1.43)(3.53,6.69)]
[(5.87,2.63)(3.07,7.50)][(1.80,3.19)(3.95,3.92)][(9.63,9.56)(2.15,3.58)][(8.73,7.70)(6.56,1.64)][(1.93,3.14)(8.79,2.57)][(4.36,6.95)(5.66,4.53)][(1.53,1.59)(4.02,6.26)]
[(5.38,3.01)(2.68,7.43)][(1.32,2.74)(4.45,3.51)][(9.92,9.99)(2.12,3.14)][(8.55,7.82)(6.62,1.74)][(1.46,2.66)(8.48,2.90)][(4.52,7.04)(5.85,4.25)][(1.96,2.07)(4.37,6.11)]
[(5.64,2.59)(2.29,7.83)][(1.82,2.64)(4.72,3.58)][(9.45,9.80)(2.55,3.28)][(9.04,8.08)(6.47,2.14)][(1.49,2.71)(8.97,3.06)][(4.05,6.90)(5.39,4.65)][(1.52,1.59)(4.84,6.20)]
[(5.44,2.97)(2.53,8.18)][(1.87,2.83)(4.29,3.23)][(9.57,9.69)(2.12,3.66)][(8.76,8.54)(6.23,1.91)][(1.48,2.67)(8.74,3.20)][(4.02,7.39)(5.07,4.24)][(1.98,1.92)(4.35,6.62)]
[(5.94,2.59)(2.31,7.80)][(1.65,2.79)(4.69,3.29)][(9.11,9.20)(1.77,4.09)][(8.26,8.15)(6.62,1.76)][(1.71,2.21)(9.16,2.78)][(4.51,7.60)(5.42,4.15)][(1.62,2.41)(3.85,6.12)]
[(6.43,2.12)(1.85,7.97)][(2.15,3.26)(5.13,3.19)][(9.11,9.45)(1.47,4.32)][(7.76,7.65)(6.86,2.20)][(1.76,2.29)(8.69,3.12)][(4.02,7.87)(5.02,4.47)][(1.12,2.59)(4.11,6.52)]
[(6.93,1.78)(1.38,8.28)][(2.46,3.43)(5.21,3.13)][(9.42,9.90)(1.78,4.11)][(7.87,7.15)(7.09,2.66)][(1.48,1.91)(9.08,3.10)][(4.51,8.37)(4.98,4.89)][(1.61,3.05)(4.02,6.63)]
[(6.47,1.46)(1.53,7.86)][(2.18,3.22)(5.08,2.79)][(9.90,9.40)(1.95,3.61)][(7.97,6.72)(6.87,3.09)][(1.50,2.06)(9.28,2.61)][(5.00,8.79)(4.50,4.57)][(1.35,2.55)(3.53,6.99)]
[(6.02,1.33)(1.64,8.34)][(2.68,2.75)(5.47,2.91)][(9.93,9.59)(2.10,3.90)][(8.08,7.13)(6.48,3.45)][(1.00,1.82)(9.78,3.03)][(5.49,8.52)(4.60,4.51)][(1.71,2.36)(3.90,6.50)]
[(6.38,1.48)(1.57,8.66)][(2.77,2.25)(5.18,2.73)][(9.78,9.11)(2.55,3.96)][(7.63,7.63)(6.98,3.62)][(1.39,1.40)(9.74,3.34)][(5.18,8.02)(4.70,4.01)][(1.97,2.04)(3.48,6.43)]
[(6.63,1.96)(2.02,8.64)][(3.00,1.75)(4.71,2.24)][(9.94,8.62)(2.05,4.45)][(7.62,7.15)(6.84,3.13)][(1.38,1.90)(9.36,3.69)][(5.66,7.68)(4.43,3.53)][(1.89,1.67)(3.04,6.29)]
[(7.02,2.30)(2.45,8.96)][(3.48,1.65)(4.51,2.00)][(9.49,8.27)(2.15,4.92)][(7.27,7.42)(6.35,2.71)][(1.39,1.41)(9.29,4.15)][(5.57,7.75)(4.12,3.04)][(1.46,2.16)(3.13,5.96)]
[(6.70,2.54)(2.16,8.86)][(3.40,2.15)(4.03,1.53)][(9.86,8.77)(2.60,4.88)][(7.56,7.89)(6.85,3.10)][(1.88,1.08)(9.05,3.75)][(5.22,8.20)(4.47,3.16)][(1.41,1.72)(3.22,6.45)]
[(6.28,2.06)(1.67,9.07)][(2.91,1.90)(3.55,1.47)][(9.39,9.26)(2.14,4.99)][(7.48,8.18)(6.39,2.60)][(2.36,1.20)(9.15,3.36)][(5.67,8.15)(4.66,3.22)][(1.38,1.27)(3.69,5.97)]
[(5.79,2.55)(2.17,8.57)][(2.42,2.18)(3.19,1.21)][(9.83,9.52)(2.21,4.50)][(7.95,7.87)(5.89,2.67)][(2.41,1.53)(9.16,2.96)][(5.57,7.93)(4.86,3.72)][(1.58,1.54)(3.22,6.47)]
[(5.94,2.96)(2.36,8.59)][(2.39,1.98)(2.78,1.59)][(9.81,9.44)(2.66,5.00)][(8.44,7.92)(5.40,2.91)][(2.89,1.80)(9.33,3.18)][(5.52,8.11)(4.50,4.05)][(2.05,1.46)(3.72,5.98)]
[(5.47,3.28)(2.15,8.27)][(2.75,2.44)(2.35,1.42)][(9.73,9.61)(3.13,5.44)][(7.96,8.05)(5.67,2.42)][(2.68,1.70)(8.87,2.94)][(5.85,8.05)(4.62,3.94)][(2.50,1.91)(3.77,6.07)]
[(4.98,3.04)(2.53,8.77)][(3.25,2.72)(2.10,1.09)][(9.67,9.85)(3.12,5.94)][(7.65,8.07)(5.75,2.75)][(2.22,2.20)(9.37,2.92)][(6.05,8.14)(4.64,4.32)][(2.20,1.41)(3.44,5.65)]
[(4.80,3.17)(2.62,9.08)][(3.18,3.11)(2.44,1.38)][(9.17,9.61)(2.91,6.00)][(7.19,7.96)(5.58,2.25)][(2.31,2.59)(9.79,3.18)][(6.28,8.34)(4.20,4.41)][(2.29,1.34)(3.88,5.51)]
[(4.44,2.72)(2.13,9.38)][(2.72,2.77)(1.96,1.83)][(9.66,9.43)(3.23,6.44)][(7.37,7.67)(5.49,2.49)][(2.80,2.12)(9.30,3.65)][(6.00,8.75)(4.29,4.45)][(2.35,1.38)(3.54,5.02)]
[(3.95,2.83)(1.82,9.77)][(2.33,3.27)(1.61,2.05)][(9.17,9.72)(3.69,6.05)][(7.10,7.56)(5.41,2.82)][(2.30,2.16)(9.66,4.12)][(6.10,9.22)(4.11,4.87)][(2.05,1.23)(3.80,5.13)]
[(3.45,2.84)(1.78,9.79)][(2.20,3.58)(1.34,2.50)][(9.56,9.63)(4.19,6.28)][(6.63,7.30)(5.07,3.12)][(2.43,2.17)(9.22,4.61)][(6.56,9.56)(3.86,4.39)][(2.55,1.72)(3.70,4.99)]
[(3.85,2.65)(2.18,9.46)][(2.49,3.38)(1.72,2.72)][(9.06,9.13)(4.56,6.67)][(6.45,7.69)(5.26,3.21)][(2.70,1.69)(8.87,4.49)][(6.63,9.14)(3.45,4.71)][(2.09,1.32)(3.44,4.52)]
[(3.35,3.15)(1.71,9.07)][(2.00,3.26)(2.20,2.26)][(9.40,9.50)(4.89,7.11)][(6.85,7.19)(5.41,2.77)][(2.59,1.27)(8.68,4.06)][(6.92,9.28)(3.65,5.20)][(2.53,1.76)(2.95,4.50)]
[(3.47,3.26)(1.23,8.96)][(1.87,3.69)(2.69,2.40)][(9.06,9.00)(5.26,7.11)][(6.99,7.69)(5.32,2.46)][(2.53,1.77)(8.21,3.67)][(7.39,8.95)(3.81,5.20)][(2.25,1.48)(2.47,4.68)]
[(3.05,3.04)(1.48,9.37)][(1.66,3.59)(2.54,2.76)][(8.92,8.57)(5.65,7.57)][(7.43,7.59)(4.83,2.76)][(2.96,1.85)(8.56,3.54)][(7.09,9.16)(3.39,5.68)][(2.52,1.90)(2.94,4.65)]
[(2.61,2.69)(1.05,9.69)][(1.86,4.08)(2.77,2.45)][(9.41,8.32)(5.90,7.07)][(6.94,7.29)(4.72,2.30)][(3.16,1.43)(8.80,3.34)][(7.54,8.90)(3.47,6.10)][(2.59,2.26)(3.11,5.11)]
[(2.16,3.02)(1.53,9.23)][(1.76,3.90)(2.30,2.71)][(9.32,7.84)(6.28,7.36)][(6.62,7.61)(4.82,2.67)][(3.66,1.13)(9.23,3.57)][(7.04,8.98)(3.50,5.66)][(2.70,1.97)(2.62,4.96)]
[(1.72,2.84)(1.61,9.04)][(1.48,3.95)(2.52,2.28)][(9.05,7.87)(6.39,7.81)][(6.53,7.50)(4.49,3.11)][(3.20,1.62)(9.45,3.64)][(6.58,8.67)(3.64,6.13)][(3.17,2.34)(2.13,4.66)]
[(1.71,2.83)(2.06,8.96)][(1.37,3.77)(2.08,2.36)][(8.56,8.32)(6.23,8.18)][(6.62,7.99)(4.90,3.61)][(3.66,2.05)(9.75,3.84)][(6.41,8.18)(3.64,6.56)][(2.82,2.68)(2.09,4.43)]
[(2.10,2.62)(2.35,9.01)][(1.52,3.34)(2.43,2.40)][(9.02,8.82)(6.57,8.39)][(7.02,8.19)(4.94,3.86)][(3.95,2.52)(9.32,3.60)][(6.06,8.19)(4.10,6.81)][(3.32,3.18)(1.83,4.18)]
[(1.76,2.70)(2.09,8.55)][(1.06,2.85)(2.83,1.94)][(8.54,8.40)(6.14,7.89)][(7.29,8.04)(4.46,3.38)][(4.24,2.45)(9.82,3.15)][(6.22,8.69)(3.60,6.38)][(3.37,3.58)(1.44,3.71)]
[(2.02,2.20)(2.57,8.40)][(1.43,2.38)(2.33,1.58)][(9.02,8.36)(5.64,8.23)][(6.97,8.52)(4.06,2.94)][(3.76,2.93)(9.56,3.59)][(5.77,8.74)(3.21,6.10)][(3.62,4.04)(1.72,3.42)]
[(1.52,2.02)(2.96,8.72)][(1.93,1.89)(1.98,1.09)][(9.49,8.74)(5.16,8.70)][(7.38,8.11)(4.54,2.45)][(4.26,2.44)(9.93,3.12)][(5.47,8.92)(2.89,6.59)][(3.61,3.85)(2.21,3.74)]
[(1.47,1.53)(3.34,9.21)][(1.50,1.88)(2.48,1.55)][(8.99,9.07)(5.07,8.47)][(7.88,8.61)(4.49,2.95)][(4.04,2.93)(9.67,2.63)][(4.98,9.42)(3.38,6.92)][(3.11,3.44)(2.61,4.21)]
[(1.79,1.97)(3.28,8.73)][(1.16,1.81)(2.14,2.05)][(9.09,9.48)(4.57,8.95)][(8.37,9.10)(4.31,2.45)][(3.88,3.32)(9.92,3.02)][(5.20,8.99)(3.00,6.48)][(3.61,3.53)(2.68,4.15)]
[(2.08,1.53)(3.44,8.79)][(1.26,2.28)(2.55,2.54)][(8.73,9.03)(4.75,9.04)][(8.27,9.39)(4.80,2.68)][(3.38,3.69)(9.90,3.32)][(5.21,9.44)(2.51,6.94)][(3.47,3.17)(3.17,3.67)]
[(2.31,1.13)(3.47,9.20)][(1.47,2.50)(3.05,2.41)][(8.48,9.50)(5.10,9.21)][(7.80,9.64)(5.24,2.55)][(3.86,4.11)(9.44,3.33)][(4.85,9.70)(2.18,6.68)][(3.93,2.80)(3.24,3.26)]
[(1.83,1.51)(3.46,8.70)][(1.67,3.00)(3.02,2.77)][(8.44,9.70)(4.78,9.49)][(8.30,9.21)(5.66,2.46)][(3.60,4.45)(9.50,3.35)][(4.64,9.86)(2.48,6.76)][(3.43,3.20)(2.86,3.74)]
[(1.81,1.01)(2.97,8.21)][(1.45,3.38)(2.62,2.69)][(7.94,9.37)(4.28,8.99)][(8.61,8.77)(5.98,1.97)][(3.72,4.42)(10.00,3.02)][(4.97,9.44)(1.99,6.89)][(3.65,3.08)(3.33,3.52)]
[(1.35,1.02)(3.44,8.29)][(1.77,3.05)(2.22,2.88)][(8.32,8.92)(4.47,8.60)][(8.29,8.46)(5.93,2.03)][(3.91,4.28)(9.79,3.52)][(5.21,9.49)(2.48,7.17)][(3.90,3.14)(2.88,3.97)]
[(1.85,1.52)(3.17,8.56)][(1.90,3.45)(2.68,3.37)][(8.66,8.50)(3.97,8.21)][(8.03,7.99)(5.48,2.44)][(3.96,4.68)(9.89,3.70)][(5.58,9.26)(2.76,6.85)][(4.00,3.42)(2.39,4.04)]
[(2.35,1.23)(2.90,8.25)][(2.28,3.93)(3.17,3.14)][(8.24,8.74)(3.76,7.77)][(8.52,7.51)(5.12,2.65)][(4.37,4.19)(9.39,3.89)][(5.75,9.05)(2.29,7.26)][(4.49,3.70)(2.53,4.38)]
[(2.00,1.59)(2.57,8.44)][(2.04,3.49)(2.71,2.97)][(8.73,8.30)(4.25,8.27)][(8.75,7.57)(4.64,2.97)][(4.87,3.98)(9.01,3.61)][(5.71,8.75)(2.35,7.74)][(4.00,4.16)(2.93,4.71)]
[(1.84,1.68)(2.24,7.94)][(2.06,3.78)(3.05,3.44)][(8.47,7.94)(4.39,8.70)][(9.24,7.53)(5.06,2.49)][(4.64,3.89)(9.51,3.13)][(6.01,8.27)(2.12,7.56)][(4.09,4.66)(3.35,4.27)]
[(2.16,1.22)(1.93,8.43)][(2.13,3.96)(2.58,3.73)][(8.19,7.88)(3.89,8.23)][(9.74,7.03)(4.61,2.04)][(4.71,4.21)(9.15,3.22)][(5.72,8.52)(1.78,7.83)][(3.85,5.16)(3.84,3.90)]
[(2.06,1.51)(1.97,8.40)][(1.82,3.73)(2.37,3.74)][(8.18,8.20)(3.98,8.33)][(9.24,6.57)(4.72,1.99)][(5.19,3.73)(9.32,2.99)][(6.22,8.02)(1.75,7.54)][(4.12,5.10)(4.29,3.85)]
[(1.56,1.41)(2.06,8.19)][(1.76,3.75)(2.81,4.18)][(7.97,8.66)(4.05,7.87)][(9.15,6.52)(5.19,1.88)][(4.74,3.24)(9.82,2.77)][(6.72,8.28)(1.42,8.02)][(3.62,5.58)(3.88,4.35)]
[(2.05,1.21)(2.51,8.03)][(2.17,3.96)(2.31,3.70)][(8.46,8.66)(3.84,7.43)][(9.58,6.95)(5.47,2.38)][(4.92,2.81)(9.86,2.30)][(6.72,8.15)(1.07,8.34)][(3.55,6.05)(4.35,4.84)]
[(2.55,1.70)(2.78,7.61)][(2.66,3.58)(1.88,3.58)][(8.26,8.38)(4.10,6.94)][(9.20,7.32)(5.56,2.68)][(4.50,2.51)(9.59,2.09)][(6.43,8.65)(1.30,7.86)][(3.58,5.91)(4.76,4.68)]
[(2.23,2.20)(2.86,7.99)][(2.65,3.64)(1.89,3.11)][(8.64,8.59)(4.29,7.10)][(8.71,7.66)(5.72,2.79)][(4.32,2.50)(9.55,1.63)][(6.53,9.12)(1.53,8.03)][(3.46,6.01)(5.22,4.18)]
[(1.80,1.72)(2.36,7.56)][(3.13,3.33)(2.11,3.56)][(8.16,8.54)(4.08,6.97)][(9.03,7.17)(5.37,2.89)][(4.81,2.37)(9.82,2.06)][(6.87,9.17)(1.81,7.99)][(3.94,5.84)(4.72,3.79)]
[(1.31,2.07)(1.95,7.93)][(3.53,2.83)(2.60,3.07)][(8.50,8.72)(4.44,6.58)][(9.38,7.52)(5.27,2.78)][(4.66,2.69)(9.32,1.98)][(6.71,8.71)(1.62,7.82)][(3.70,5.47)(4.71,4.09)]
[(1.31,1.65)(2.40,7.74)][(3.05,2.36)(3.04,3.14)][(8.60,8.23)(3.95,6.48)][(9.16,7.82)(5.77,2.30)][(5.13,3.08)(9.70,2.40)][(6.22,8.90)(1.12,8.10)][(3.23,5.84)(5.21,4.15)]
[(1.46,2.14)(2.08,7.28)][(3.17,1.89)(3.52,2.74)][(8.26,8.11)(3.55,6.06)][(8.84,7.52)(5.40,2.71)][(4.87,3.42)(9.67,2.55)][(6.07,8.87)(1.03,8.32)][(3.45,5.86)(5.64,3.79)]
[(1.73,1.72)(1.64,7.66)][(3.05,1.80)(3.36,2.62)][(8.42,7.67)(3.59,5.57)][(9.17,8.02)(5.83,2.41)][(4.38,3.29)(9.97,2.96)][(6.57,8.38)(1.02,8.39)][(3.83,6.22)(5.20,3.31)]
[(1.95,1.77)(1.62,7.41)][(2.60,1.33)(3.41,2.52)][(8.92,7.45)(4.07,5.40)][(8.88,7.61)(5.37,2.51)][(4.35,3.05)(9.58,2.48)][(6.17,8.74)(1.13,7.99)][(3.71,6.63)(4.89,3.24)]
[(2.43,2.26)(1.94,7.81)][(2.50,1.72)(2.91,2.97)][(8.50,7.92)(4.33,5.90)][(9.37,8.05)(5.18,2.02)][(4.03,3.55)(9.50,2.41)][(5.67,8.55)(1.61,7.95)][(3.21,7.08)(4.41,2.75)]
[(2.93,2.55)(1.47,7.81)][(2.06,1.33)(2.47,3.21)][(8.13,8.02)(4.80,5.64)][(8.99,8.49)(5.61,1.88)][(3.75,3.11)(9.98,1.91)][(5.22,9.04)(1.79,7.62)][(2.71,6.67)(4.70,3.25)]
[(2.86,2.19)(1.10,7.60)][(1.60,1.18)(2.71,3.03)][(8.47,7.52)(4.30,5.25)][(8.97,8.60)(5.49,1.89)][(3.45,3.27)(9.51,1.44)][(5.40,8.99)(1.95,8.10)][(3.06,6.18)(5.00,3.61)]
